run,camp,node,lane,card_a,card_b,taken,passed,recipient,owner,bound,triggers,cross_flock_triggers,changed_chosen_action,decisions_watched,threats_solved,objectives_touched
"shover-seed4-pick0",1,"c1-first-contact","Neutral","Rattling Impact","Spotter","Rattling Impact","Spotter","Vanguard","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,67,0,0
"shover-seed4-pick0",2,"c2-bait-and-break","Safe","Chalk Mark","Stored Force","Chalk Mark","Stored Force","Vanguard","PlayerA","no paired consumables; connector to an owned tag",0,0,0,31,0,0
"shover-seed4-pick1",1,"c1-first-contact","Neutral","Rattling Impact","Spotter","Spotter","Rattling Impact","Archer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,67,0,0
"shover-seed4-pick1",2,"c2-bait-and-break","Safe","Bramble Salve","Shelter Step","Shelter Step","Bramble Salve","Wardbearer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,31,0,0
"board-first-seed4-pick0",1,"c1-first-contact","Neutral","Rattling Impact","Spotter","Rattling Impact","Spotter","Vanguard","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"board-first-seed4-pick0",2,"c2-bait-and-break","Safe","Chalk Mark","Stored Force","Chalk Mark","Stored Force","Vanguard","PlayerA","no paired consumables; connector to an owned tag",0,0,0,18,0,0
"board-first-seed4-pick1",1,"c1-first-contact","Neutral","Rattling Impact","Spotter","Spotter","Rattling Impact","Archer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"board-first-seed4-pick1",2,"c2-bait-and-break","Safe","Bramble Salve","Shelter Step","Shelter Step","Bramble Salve","Wardbearer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,18,0,0
"blade-first-seed4-pick0",1,"c1-first-contact","Neutral","Rattling Impact","Spotter","Rattling Impact","Spotter","Vanguard","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"blade-first-seed4-pick0",2,"c2-bait-and-break","Safe","Chalk Mark","Stored Force","Chalk Mark","Stored Force","Vanguard","PlayerA","no paired consumables; connector to an owned tag",0,0,0,18,0,0
"blade-first-seed4-pick1",1,"c1-first-contact","Neutral","Rattling Impact","Spotter","Spotter","Rattling Impact","Archer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"blade-first-seed4-pick1",2,"c2-bait-and-break","Safe","Bramble Salve","Shelter Step","Shelter Step","Bramble Salve","Wardbearer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,18,0,0
"objective-first-seed4-pick0",1,"c1-first-contact","Neutral","Rattling Impact","Spotter","Rattling Impact","Spotter","Vanguard","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,331,0,0
"objective-first-seed4-pick0",2,"c2-bait-and-break","Safe","Chalk Mark","Stored Force","Chalk Mark","Stored Force","Vanguard","PlayerA","no paired consumables; connector to an owned tag",0,0,0,312,0,0
"objective-first-seed4-pick0",3,"c3-the-shrine","Safe","Shelter Step","Dried Minnow","Shelter Step","Dried Minnow","Wardbearer","PlayerB","ownership fairness",0,0,0,281,0,0
"objective-first-seed4-pick1",1,"c1-first-contact","Neutral","Rattling Impact","Spotter","Spotter","Rattling Impact","Archer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,331,0,0
"objective-first-seed4-pick1",2,"c2-bait-and-break","Safe","Bramble Salve","Shelter Step","Shelter Step","Bramble Salve","Wardbearer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,312,0,0
"objective-first-seed4-pick1",3,"c3-the-shrine","Safe","Hand-Off","Chalk Mark","Chalk Mark","Hand-Off","Wardbearer","PlayerB","ownership fairness",0,0,0,281,0,0
