run,camp,node,lane,card_a,card_b,taken,passed,recipient,owner,bound,triggers,cross_flock_triggers,changed_chosen_action,decisions_watched,threats_solved,objectives_touched
"shover-seed1-pick0",1,"c1-first-contact","Neutral","Crossing Shot","Hand-Off","Crossing Shot","Hand-Off","Archer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",1,1,0,66,1,0
"shover-seed1-pick0",2,"c2-bait-and-break","Safe","Dried Minnow","Spotter","Dried Minnow","Spotter","Archer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,30,0,0
"shover-seed1-pick1",1,"c1-first-contact","Neutral","Crossing Shot","Hand-Off","Hand-Off","Crossing Shot","Fisher","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,67,0,0
"shover-seed1-pick1",2,"c2-bait-and-break","Safe","Dried Minnow","Spotter","Spotter","Dried Minnow","Archer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,31,0,0
"board-first-seed1-pick0",1,"c1-first-contact","Neutral","Crossing Shot","Hand-Off","Crossing Shot","Hand-Off","Archer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"board-first-seed1-pick0",2,"c2-bait-and-break","Safe","Dried Minnow","Spotter","Dried Minnow","Spotter","Archer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,18,0,0
"board-first-seed1-pick1",1,"c1-first-contact","Neutral","Crossing Shot","Hand-Off","Hand-Off","Crossing Shot","Fisher","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"board-first-seed1-pick1",2,"c2-bait-and-break","Safe","Dried Minnow","Spotter","Spotter","Dried Minnow","Archer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,18,0,0
"blade-first-seed1-pick0",1,"c1-first-contact","Neutral","Crossing Shot","Hand-Off","Crossing Shot","Hand-Off","Archer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"blade-first-seed1-pick0",2,"c2-bait-and-break","Safe","Dried Minnow","Spotter","Dried Minnow","Spotter","Archer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,18,0,0
"blade-first-seed1-pick1",1,"c1-first-contact","Neutral","Crossing Shot","Hand-Off","Hand-Off","Crossing Shot","Fisher","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,37,0,0
"blade-first-seed1-pick1",2,"c2-bait-and-break","Safe","Dried Minnow","Spotter","Spotter","Dried Minnow","Archer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,18,0,0
"objective-first-seed1-pick0",1,"c1-first-contact","Neutral","Crossing Shot","Hand-Off","Crossing Shot","Hand-Off","Archer","PlayerB","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,331,0,0
"objective-first-seed1-pick0",2,"c2-bait-and-break","Safe","Dried Minnow","Spotter","Dried Minnow","Spotter","Archer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,312,0,0
"objective-first-seed1-pick0",3,"c3-the-shrine","Safe","Chum the Water","Spotter","Chum the Water","Spotter","Fisher","PlayerA","ownership fairness; connector to an owned tag",0,0,0,281,0,0
"objective-first-seed1-pick1",1,"c1-first-contact","Neutral","Crossing Shot","Hand-Off","Hand-Off","Crossing Shot","Fisher","PlayerA","camp-1 engine starter; camp-1 engine starter; camp-1 different classes; camp-1 different players",0,0,0,331,0,0
"objective-first-seed1-pick1",2,"c2-bait-and-break","Safe","Dried Minnow","Spotter","Spotter","Dried Minnow","Archer","PlayerB","no paired consumables; connector to an owned tag",0,0,0,312,0,0
"objective-first-seed1-pick1",3,"c3-the-shrine","Safe","Long Boot","Shelter Step","Shelter Step","Long Boot","Wardbearer","PlayerB","connector to an owned tag",0,0,0,281,0,0
